,LM_1.034e-05,LM_1.285e-05,LM_1.634e-05,LM_2.084e-05,LM_2.634e-05,LM_3.335e-05,LM_4.234e-05,LM_5.384e-05,LM_6.834e-05,LM_8.634e-05,LM_0.0001088,LM_0.0001428,LM_0.0001858,LM_0.0002288,LM_0.0002718,LM_0.0003363,LM_0.0004223,LM_0.0005298,HM_5.021e-05,HM_5.571e-05,HM_6.272e-05,HM_7.171e-05,HM_8.321e-05,HM_9.771e-05,HM_0.0001157,HM_0.0001382,HM_0.0001722,HM_0.0002152,HM_0.0002582,HM_0.0003012,HM_0.0003657,HM_0.0004517,HM_0.0005592,HM_0.0007092,HM_0.0009017,HM_0.001138,HM_0.001437,HM_0.001821,HM_0.002292,HM_0.002848,HM_0.003534
10,-5.820243408471598e-09,-4.304430803365625e-09,-2.9968885233361567e-09,-2.143126385770949e-09,-1.5089655791622294e-09,-1.018145977751683e-09,-6.826425317850128e-10,-4.499858810491493e-10,-3.0003497062628435e-10,-2.1075882985522464e-10,-1.482234914942073e-10,-9.975593635849537e-11,-7.329909571069545e-11,-5.97722945766971e-11,-4.6791837692287916e-11,-3.64002888279473e-11,-2.6248430697538778e-11,-1.8425532534619568e-11,-1.1440761643976775e-09,-8.895726572683239e-10,-7.070417977728841e-10,-5.375863747188813e-10,-4.0104904863298626e-10,-2.991881042274825e-10,-2.2466454032061548e-10,-1.7074302054637958e-10,-1.3969950681835618e-10,-1.1057953243358323e-10,-8.603733191360462e-11,-7.242398860335206e-11,-5.490960081042669e-11,-4.047418788414331e-11,-2.96392725252543e-11,-2.0536433116049265e-11,-1.3723144356021508e-11,-8.992587827074535e-12,-6.628106292187978e-12,-4.325566851924637e-12,-2.7108609806576785e-12,-1.6675994831230546e-12,-9.70672476720468e-13
11,-6.4424237402831905e-09,-4.747869796616186e-09,-3.2803492592313306e-09,-2.3250926054838645e-09,-1.6203352970171763e-09,-1.0800471100818975e-09,-7.161251895256855e-10,-4.675990639857879e-10,-3.100116138804461e-10,-2.1745405161910108e-10,-1.5305348002600353e-10,-1.033210427834634e-10,-7.614119853773634e-11,-6.219131450324917e-11,-4.880198363523813e-11,-3.803324725702119e-11,-2.7489994446412962e-11,-1.9333998127242535e-11,-1.214926961901865e-09,-9.386145973650192e-10,-7.425989891661849e-10,-5.616378691496117e-10,-4.171180671385406e-10,-3.103157167221024e-10,-2.3282693449452092e-10,-1.7708034284694697e-10,-1.4501614540664349e-10,-1.1492191840303242e-10,-8.954611758675719e-11,-7.543496364450194e-11,-5.7269074233704885e-11,-4.225840461304863e-11,-3.096293021078183e-11,-2.1452799205637683e-11,-1.4324224162863503e-11,-9.372182617144202e-12,-6.90023381465003e-12,-4.494537145043924e-12,-2.810332746251394e-12,-1.724552981138918e-12,-1.0010426056744855e-12
12,-6.930229770329711e-09,-5.104277886076419e-09,-3.5137890732461896e-09,-2.4773458810414975e-09,-1.7149741501944069e-09,-1.1337093890541338e-09,-7.458963812002289e-10,-4.838606887040387e-10,-3.1964635416960023e-10,-2.2413331643577323e-10,-1.5797533405190624e-10,-1.0697777907124396e-10,-7.904364725128055e-11,-6.464698291783513e-11,-5.0825983124410034e-11,-3.9660863824048076e-11,-2.8708707796428542e-11,-2.0209054993795268e-11,-1.2737005742614324e-09,-9.803001578107475e-10,-7.734934760996497e-10,-5.831553268097307e-10,-4.3189978724679046e-10,-3.2075666337305895e-10,-2.405867284935026e-10,-1.8316710073148903e-10,-1.5013810693915123e-10,-1.1910882400379196e-10,-9.2929956504382e-11,-7.833084354789827e-11,-5.95257841180532e-11,-4.3948998672094966e-11,-3.220204104588675e-11,-2.229694880569628e-11,-1.4867081560594487e-11,-9.70775190203132e-12,-7.138310616256303e-12,-4.63975578869711e-12,-2.894203933905034e-12,-1.7716454411688447e-12,-1.0256242762159198e-12
13,-7.20080368276669e-09,-5.300359403559962e-09,-3.6413836982833058e-09,-2.560512406845131e-09,-1.7668978713139617e-09,-1.1635575533298885e-09,-7.629468854775254e-10,-4.936896248562697e-10,-3.259194508867908e-10,-2.287818985123059e-10,-1.6161260371035798e-10,-1.0982355518638386e-10,-8.136645203087974e-11,-6.663659468212046e-11,-5.249279894399925e-11,-4.101626401247627e-11,-2.973711169975042e-11,-2.095507914325774e-11,-1.3071484838542005e-09,-1.0050430627578124e-09,-7.926605679443959e-10,-5.973289873127691e-10,-4.4225550664003013e-10,-3.28443639521179e-10,-2.465131340253699e-10,-1.8795836832170592e-10,-1.5423588606068013e-10,-1.2251533767877314e-10,-9.573618988488343e-11,-8.075401219862987e-11,-6.14429152517884e-11,-4.540345448070589e-11,-3.327826160694574e-11,-2.303574153534813e-11,-1.534493131587191e-11,-1.0004342201467039e-11,-7.349249853510445e-12,-4.769042725736119e-12,-2.969418674148462e-12,-1.8143269697649085e-12,-1.0482458305423736e-12
14,-7.3491381146261864e-09,-5.400086575239239e-09,-3.7024321629072703e-09,-2.599709550024374e-09,-1.7917505375909645e-09,-1.1786978241426345e-09,-7.725451562676988e-10,-5.000461497086362e-10,-3.304998290095001e-10,-2.3239349971155262e-10,-1.6453222851113151e-10,-1.121426003377011e-10,-8.32786813221502e-11,-6.829117005027555e-11,-5.3897638803859434e-11,-4.2178088649439194e-11,-3.0640442653496e-11,-2.1629274286345786e-11,-1.3241341291285074e-09,-1.0187842254303425e-09,-8.042855758641195e-10,-6.06890761847922e-10,-4.499614020908728e-10,-3.3457314386524733e-10,-2.514209205255756e-10,-1.9199761969500585e-10,-1.5772379799876792e-10,-1.2544968463584274e-10,-9.818776556970474e-11,-8.289182765398162e-11,-6.31639298140789e-11,-4.673537672557438e-11,-3.428343529286574e-11,-2.3740387172009243e-11,-1.580926281343344e-11,-1.0296554233635442e-11,-7.557991146715556e-12,-4.897942526691409e-12,-3.0450711661476528e-12,-1.85774920462725e-12,-1.071663837076572e-12
15,-7.35064753151515e-09,-5.386904247154674e-09,-3.6859507648375815e-09,-2.586918609801476e-09,-1.7835876827789898e-09,-1.1748203294498e-09,-7.716192179725212e-10,-5.008265045468016e-10,-3.319748017335737e-10,-2.339745474545661e-10,-1.6602121788878203e-10,-1.1341923975547114e-10,-8.436576717712059e-11,-6.925043741962576e-11,-5.47328196533555e-11,-4.288915744238926e-11,-3.1216860682471736e-11,-2.208137604404501e-11,-1.3211922977243835e-09,-1.0184147961793242e-09,-8.055723176643365e-10,-6.094113544839076e-10,-4.530034792785401e-10,-3.375496035788063e-10,-2.5407228356530406e-10,-1.9430170381722187e-10,-1.5976130456474244e-10,-1.2720717414639903e-10,-9.969793388708757e-11,-8.423273202181534e-11,-6.427783978951584e-11,-4.763002347143856e-11,-3.49861768996024e-11,-2.425754906054865e-11,-1.6168604027399475e-11,-1.0534586871223362e-11,-7.731722095272045e-12,-5.0089609172565e-12,-3.1122824565944227e-12,-1.897314309140607e-12,-1.0934376386339355e-12
16,-7.241709949083547e-09,-5.27341954636459e-09,-3.591484153294449e-09,-2.519224790705435e-09,-1.740308444739616e-09,-1.1518688206983567e-09,-7.620378862817961e-10,-4.990134580449656e-10,-3.3352976452843847e-10,-2.36344979471897e-10,-1.683639176999348e-10,-1.1530282593341813e-10,-8.585017817011193e-11,-7.05061113664103e-11,-5.5768803048443405e-11,-4.3745939452410725e-11,-3.189566001048577e-11,-2.2616146540894136e-11,-1.299185168272021e-09,-1.0059172954819219e-09,-7.993544684350333e-10,-6.083574277795121e-10,-4.550643686259256e-10,-3.408563768405126e-10,-2.575056779197073e-10,-1.9739261062651424e-10,-1.6247613453427306e-10,-1.2951525024618086e-10,-1.0165195136376719e-10,-8.595849412457922e-11,-6.570301610576127e-11,-4.878329503031956e-11,-3.591404698200637e-11,-2.4971146120625372e-11,-1.6694760245781494e-11,-1.0906694855686624e-11,-8.0115273021654e-12,-5.1961290607122315e-12,-3.2303621320084715e-12,-1.9690838240583212e-12,-1.1339294302529344e-12
17,-7.2278258292301104e-09,-5.256986498117202e-09,-3.5898097398005735e-09,-2.5337661573729016e-09,-1.766408432554254e-09,-1.1841653678247355e-09,-7.942239456726928e-10,-5.270592402626128e-10,-3.555169570187123e-10,-2.5262362400702915e-10,-1.7972109059493572e-10,-1.2231550723941305e-10,-9.04885426110141e-11,-7.404899937659818e-11,-5.826817950128039e-11,-4.554359966702367e-11,-3.307035208152855e-11,-2.3394452240952656e-11,-1.3325944665371902e-09,-1.0389177828650207e-09,-8.301930380484749e-10,-6.360216790458203e-10,-4.785264784149781e-10,-3.5967198226596114e-10,-2.7186077416686614e-10,-2.079714099322139e-10,-1.7082718853755674e-10,-1.3580747392444377e-10,-1.0623877642300175e-10,-8.968369414606397e-11,-6.834944879510563e-11,-5.064398383230899e-11,-3.726442222088957e-11,-2.5942345947278157e-11,-1.739749460081881e-11,-1.1413645490958522e-11,-8.400663522720974e-12,-5.4651851163890854e-12,-3.4062955272098013e-12,-2.079745832726333e-12,-1.1985958878705503e-12
18,-7.574228526857382e-09,-5.589126923025623e-09,-3.8894636508156214e-09,-2.7888477290550193e-09,-1.974122584366504e-09,-1.343760040821776e-09,-9.109052072084929e-10,-6.07686228355088e-10,-4.089802684253751e-10,-2.8821896877173246e-10,-2.024288998710904e-10,-1.352481089126841e-10,-9.865280052164765e-11,-8.016226367041757e-11,-6.243049208952568e-11,-4.844197892976182e-11,-3.4857231913243224e-11,-2.448740005583374e-11,-1.4934055958024413e-09,-1.1701441607877572e-09,-9.365529554514432e-10,-7.177895475719861e-10,-5.386701343994014e-10,-4.02478388443603e-10,-3.014720564927804e-10,-2.2812594613779895e-10,-1.8613329765075192e-10,-1.4686338404177672e-10,-1.1381754011977406e-10,-9.563087685661418e-11,-7.227626041927991e-11,-5.3177921913920277e-11,-3.89429457540641e-11,-2.7027660443857723e-11,-1.8104905490449973e-11,-1.1883014396413279e-11,-8.751741770728868e-12,-5.699890357742857e-12,-3.557051443950693e-12,-2.1743983105310762e-12,-1.2545712186116919e-12
19,-8.263043152516251e-09,-6.176341735528682e-09,-4.363724280603614e-09,-3.164296524250857e-09,-2.2620166346967366e-09,-1.5529904170572444e-09,-1.057209647568674e-09,-7.049147081431752e-10,-4.714823868655324e-10,-3.2904042733682614e-10,-2.2813676698431947e-10,-1.498792117421522e-10,-1.0800868951677252e-10,-8.725766566041173e-11,-6.737391768684827e-11,-5.1960666857482685e-11,-3.709976432888796e-11,-2.5896884917452167e-11,-1.7073175328245313e-09,-1.3399167126526548e-09,-1.071376515446079e-09,-8.189291247758439e-10,-6.112848162020299e-10,-4.531002503276968e-10,-3.3596172115023166e-10,-2.5143067359909703e-10,-2.0385543082588917e-10,-1.5973412567443514e-10,-1.2271819422219025e-10,-1.0266544550328171e-10,-7.69917038034346e-11,-5.626387373597271e-11,-4.0992973716215577e-11,-2.8329855265758692e-11,-1.891693129553596e-11,-1.2388679876744627e-11,-9.117522367820373e-12,-5.931686824196092e-12,-3.698410787695898e-12,-2.2593220740562516e-12,-1.3028875373298548e-12
