,LM_1.034e-05,LM_1.285e-05,LM_1.634e-05,LM_2.084e-05,LM_2.634e-05,LM_3.335e-05,LM_4.234e-05,LM_5.384e-05,LM_6.834e-05,LM_8.634e-05,LM_0.0001088,LM_0.0001428,LM_0.0001858,LM_0.0002288,LM_0.0002718,LM_0.0003363,LM_0.0004223,LM_0.0005298,HM_5.021e-05,HM_5.571e-05,HM_6.272e-05,HM_7.171e-05,HM_8.321e-05,HM_9.771e-05,HM_0.0001157,HM_0.0001382,HM_0.0001722,HM_0.0002152,HM_0.0002582,HM_0.0003012,HM_0.0003657,HM_0.0004517,HM_0.0005592,HM_0.0007092,HM_0.0009017,HM_0.001138,HM_0.001437,HM_0.001821,HM_0.002292,HM_0.002848,HM_0.003534
10,-5.59098043327096e-09,-4.0964356285490526e-09,-2.8491300153271853e-09,-1.934524290381407e-09,-1.3126352652529961e-09,-8.800323447451444e-10,-5.87392399448896e-10,-3.9450202946081625e-10,-2.6876126382977597e-10,-1.8738470926816655e-10,-1.3332163390247433e-10,-9.164081487240259e-11,-6.429321296671914e-11,-4.8573482858638867e-11,-3.841273228242252e-11,-2.853631638059007e-11,-2.049102651590932e-11,-1.445796530940137e-11,-9.80937320896141e-10,-7.482865018662727e-10,-5.636752591313937e-10,-4.210555394342396e-10,-3.140215960726683e-10,-2.3588618617555787e-10,-1.7950891705998664e-10,-1.3900868265856956e-10,-1.0319280901039763e-10,-7.72363733275923e-11,-6.122492989528352e-11,-5.028057404061904e-11,-3.9068175396463803e-11,-2.9389998985130874e-11,-2.1720571891262576e-11,-1.5165342182816315e-11,-1.0221327717160051e-11,-6.7425577027476385e-12,-4.316265836729493e-12,-2.657744974684062e-12,-1.5956231056367015e-12,-9.519874813094379e-13,-5.527312190175642e-13
11,-6.197406180131056e-09,-4.516184765932683e-09,-3.1110285786748323e-09,-2.0857533356648756e-09,-1.3961580651990675e-09,-9.236798985030719e-10,-6.097165993886086e-10,-4.0643521241440595e-10,-2.7590116999060255e-10,-1.9232878600175836e-10,-1.3713200046928576e-10,-9.463623986898873e-11,-6.668499605226919e-11,-5.0550297458924094e-11,-4.0077097248878616e-11,-2.9851312695782107e-11,-2.1480563302676875e-11,-1.5175005974688537e-11,-1.035504064040627e-09,-7.828143379678057e-10,-5.850878348999013e-10,-4.3455603826031617e-10,-3.23100787292796e-10,-2.425995800418713e-10,-1.8489968186989495e-10,-1.4356007677282695e-10,-1.0697022513819063e-10,-8.036122086064621e-11,-6.387139942536308e-11,-5.255331455681018e-11,-4.0909978745790355e-11,-3.0816012808460056e-11,-2.2786912668813117e-11,-1.5907028202724197e-11,-1.071088400114897e-11,-7.0538101575303945e-12,-4.505443223944914e-12,-2.766362185772751e-12,-1.6554148050008957e-12,-9.842422316322297e-13,-5.693873201274666e-13
12,-6.754275015508354e-09,-4.912206789417833e-09,-3.362332564172944e-09,-2.2312589771923803e-09,-1.4756205288589587e-09,-9.642385415079526e-10,-6.298484050295386e-10,-4.169504977275494e-10,-2.8216700411183396e-10,-1.9672071346708383e-10,-1.4056456885527534e-10,-9.735656214351801e-11,-6.886028245701692e-11,-5.2344119110310373e-11,-4.1582690114279986e-11,-3.103477519589174e-11,-2.236490109863927e-11,-1.5812166307602916e-11,-1.086760391667429e-09,-8.147032239448062e-10,-6.044457006267117e-10,-4.4654038291026544e-10,-3.3110747425435414e-10,-2.4855193764876655e-10,-1.8972570123600292e-10,-1.476598944733263e-10,-1.1038335331332431e-10,-8.318072595265712e-11,-6.62520941249334e-11,-5.459041127959406e-11,-4.2551929469074674e-11,-3.207922497037227e-11,-2.3726848528602663e-11,-1.655572849447484e-11,-1.113563348413156e-11,-7.321969049172887e-12,-4.667298242799763e-12,-2.859019687583788e-12,-1.7063197976213664e-12,-1.0116888716636933e-12,-5.835524988921669e-13
13,-7.131261984404746e-09,-5.185478179162386e-09,-3.539220077960827e-09,-2.33587149397891e-09,-1.5342267870796895e-09,-9.953168525705403e-10,-6.46252015805555e-10,-4.262899759812068e-10,-2.882444277272975e-10,-2.0122870936856333e-10,-1.4416715362217226e-10,-1.0021638003246015e-10,-7.112855530156759e-11,-5.419796428410334e-11,-4.312461922543045e-11,-3.223155981359555e-11,-2.3245353038832385e-11,-1.6435051533091554e-11,-1.1256423570351506e-09,-8.39861448382658e-10,-6.205879541408618e-10,-4.572611184912423e-10,-3.3879109254935227e-10,-2.5455422012595923e-10,-1.9470599052867345e-10,-1.5191138057754905e-10,-1.1390711823435061e-10,-8.606473526584954e-11,-6.866494692022393e-11,-5.6637083627031417e-11,-4.418183919628854e-11,-3.3314568515554385e-11,-2.4630548355488135e-11,-1.716858737585529e-11,-1.1530026527317792e-11,-7.56724561593848e-12,-4.813687603158502e-12,-2.941965669295094e-12,-1.7516329776113696e-12,-1.036056099834546e-12,-5.961105629095701e-13
14,-7.373533191794336e-09,-5.354083124068288e-09,-3.6451171433878166e-09,-2.3978763960075413e-09,-1.5695848114958347e-09,-1.0151251697154112e-09,-6.577625902353641e-10,-4.336576436098489e-10,-2.935303144153087e-10,-2.0537323308267966e-10,-1.475607744126626e-10,-1.0294311426488614e-10,-7.33103560257192e-11,-5.599564757673862e-11,-4.463231040148829e-11,-3.341497673173172e-11,-2.4126495113136818e-11,-1.7064105499662826e-11,-1.1505205242555069e-09,-8.568675835725676e-10,-6.324196343544946e-10,-4.658939378439646e-10,-3.455065860674722e-10,-2.600834850808018e-10,-1.994171808603518e-10,-1.559840399411761e-10,-1.1731196391867721e-10,-8.887440233710775e-11,-7.103273399722657e-11,-5.865981981912271e-11,-4.5806933320954784e-11,-3.4557560985234234e-11,-2.554548525482211e-11,-1.7791477461331343e-11,-1.1931347477178417e-11,-7.816635791861049e-12,-4.962521121213422e-12,-3.026641839495866e-12,-1.7982331134563235e-12,-1.0614056810458618e-12,-6.09368942925271e-13
15,-7.439502951079128e-09,-5.3902432263742415e-09,-3.662674825689589e-09,-2.406380918425583e-09,-1.5744068570682366e-09,-1.0185263143045628e-09,-6.606187900369749e-10,-4.362276849190904e-10,-2.958608959619967e-10,-2.0746240168252452e-10,-1.4940313920049607e-10,-1.0450217319931149e-10,-7.461143629752108e-11,-5.710678395074559e-11,-4.559505158411329e-11,-3.420462697568795e-11,-2.4744263027513538e-11,-1.752758290347358e-11,-1.1554185765876384e-09,-8.609456023455846e-10,-6.360707284652353e-10,-4.692768699739454e-10,-3.486590736230869e-10,-2.6299849596705736e-10,-2.0208112805431727e-10,-1.58388031982627e-10,-1.1940439088643247e-10,-9.06665017157572e-11,-7.259245452965463e-11,-6.003134527442304e-11,-4.695203128862446e-11,-3.547087189331177e-11,-2.6246410559176878e-11,-1.828869552678798e-11,-1.226324240958055e-11,-8.028772572831643e-12,-5.091765023365388e-12,-3.1012856521327837e-12,-1.839784222552702e-12,-1.0841388082762308e-12,-6.212880487716178e-13
16,-7.356516006488726e-09,-5.2959398121311155e-09,-3.5830535739888146e-09,-2.352240743289223e-09,-1.5433437382759584e-09,-1.0042888873109503e-09,-6.563827770735425e-10,-4.368044555521713e-10,-2.9821061979545444e-10,-2.1011358060130332e-10,-1.5179478403931879e-10,-1.0642458083919206e-10,-7.612360641720571e-11,-5.835842086928572e-11,-4.667096841327612e-11,-3.5099436905330004e-11,-2.547300484339665e-11,-1.810677641530093e-11,-1.139562598139804e-09,-8.531375006633234e-10,-6.340432703691924e-10,-4.707343277612996e-10,-3.5176488793756246e-10,-2.6656828238360487e-10,-2.0551302559110208e-10,-1.614513240437017e-10,-1.2198081986035515e-10,-9.281265357939025e-11,-7.444626219671921e-11,-6.16719912483018e-11,-4.8354125508082853e-11,-3.6636737740839797e-11,-2.7189497309275256e-11,-1.9002050036267527e-11,-1.2772026873040098e-11,-8.374771528099722e-12,-5.3147930833922756e-12,-3.2364484950209636e-12,-1.9180186179596133e-12,-1.1283668627739646e-12,-6.451607614942907e-13
17,-7.326229101056474e-09,-5.2403073689612e-09,-3.5359710249976343e-09,-2.328416801017891e-09,-1.5408117577376163e-09,-1.0156955195021376e-09,-6.736741769972846e-10,-4.542001792759488e-10,-3.1287334077703146e-10,-2.2130630246285856e-10,-1.5981740896797322e-10,-1.1160108100010046e-10,-7.94011452189699e-11,-6.06240259845823e-11,-4.835437143004933e-11,-3.629657664218645e-11,-2.6341636366414952e-11,-1.8763319988177882e-11,-1.1495975459845076e-09,-8.688066341834956e-10,-6.524815612997856e-10,-4.891743425997479e-10,-3.682242566145987e-10,-2.801148832690881e-10,-2.160725956557202e-10,-1.6943047699945144e-10,-1.2753433330601504e-10,-9.665720092782532e-11,-7.73364132667823e-11,-6.398266220291713e-11,-5.014769111334043e-11,-3.8042946683829165e-11,-2.831141865976527e-11,-1.9873222596088302e-11,-1.3426390800200089e-11,-8.846845441402301e-12,-5.636223626752842e-12,-3.440624548774658e-12,-2.04061221730872e-12,-1.1994983334058804e-12,-6.843675121451258e-13
18,-7.580379999659246e-09,-5.471144373003111e-09,-3.740752845872371e-09,-2.5022482025467646e-09,-1.6818396727165567e-09,-1.1241814779751246e-09,-7.530280876235562e-10,-5.098218821808563e-10,-3.5054464480213977e-10,-2.462261047693458e-10,-1.7593803963579927e-10,-1.2109791915177376e-10,-8.493883527904765e-11,-6.418717089758072e-11,-5.0824392371735227e-11,-3.788480698075532e-11,-2.736340947922851e-11,-1.9450101136076628e-11,-1.2612119546242525e-09,-9.61306457734244e-10,-7.26254720662409e-10,-5.457252984814549e-10,-4.0998663377632365e-10,-3.100426348668966e-10,-2.3706240224509143e-10,-1.840285501503968e-10,-1.3679129974056742e-10,-1.0248172812495007e-10,-8.136018609622056e-11,-6.696245644759688e-11,-5.223937292706565e-11,-3.9519899343777383e-11,-2.938758825073126e-11,-2.0647737143629167e-11,-1.3978580340122689e-11,-9.233293675432351e-12,-5.896524327567553e-12,-3.6065563935103273e-12,-2.1419566371223767e-12,-1.2599415571418795e-12,-7.188213996084091e-13
19,-8.177882539976532e-09,-5.966240423030308e-09,-4.132275802049663e-09,-2.799902174202867e-09,-1.9020705884718063e-09,-1.2810336158187168e-09,-8.608438895327449e-10,-5.818279496086424e-10,-3.9757941297244974e-10,-2.7659428633278404e-10,-1.9534364772236423e-10,-1.32561521451475e-10,-9.176840953135971e-11,-6.871396082843436e-11,-5.4058792437654224e-11,-4.0039661833958585e-11,-2.877856935242572e-11,-2.0390788674003823e-11,-1.4267193333396887e-09,-1.091652649459843e-09,-8.256165802791246e-10,-6.190162804228618e-10,-4.624637961448958e-10,-3.468197857458678e-10,-2.625225694564106e-10,-2.016866332219526e-10,-1.480937267611916e-10,-1.097530348006799e-10,-8.65047712445957e-11,-7.084591163175621e-11,-5.5007156370336456e-11,-4.14650562856481e-11,-3.076350992609366e-11,-2.1579850541915496e-11,-1.45948372284511e-11,-9.633836934575348e-12,-6.149135111300325e-12,-3.759831863771068e-12,-2.2324394537417166e-12,-1.3127537239007523e-12,-7.485465436194867e-13
