,LM_1.034e-05,LM_1.285e-05,LM_1.634e-05,LM_2.084e-05,LM_2.634e-05,LM_3.335e-05,LM_4.234e-05,LM_5.384e-05,LM_6.834e-05,LM_8.634e-05,LM_0.0001088,LM_0.0001428,LM_0.0001858,LM_0.0002288,LM_0.0002718,LM_0.0003363,LM_0.0004223,LM_0.0005298,HM_5.021e-05,HM_5.571e-05,HM_6.272e-05,HM_7.171e-05,HM_8.321e-05,HM_9.771e-05,HM_0.0001157,HM_0.0001382,HM_0.0001722,HM_0.0002152,HM_0.0002582,HM_0.0003012,HM_0.0003657,HM_0.0004517,HM_0.0005592,HM_0.0007092,HM_0.0009017,HM_0.001138,HM_0.001437,HM_0.001821,HM_0.002292,HM_0.002848,HM_0.003534
10,-5.818573760066357e-09,-4.270167069763476e-09,-2.944957392331212e-09,-2.0893037669478676e-09,-1.4590029754466005e-09,-9.751574271609564e-10,-6.477666866994523e-10,-4.228151072307412e-10,-2.7922078241545125e-10,-1.945512364920941e-10,-1.3568457973900293e-10,-9.047712931433026e-11,-6.606772950919541e-11,-5.371474555266252e-11,-4.1865908721547635e-11,-3.2470559075922306e-11,-2.3330603788597116e-11,-1.6339647632182643e-11,-1.0948903638406828e-09,-8.432438165847361e-10,-6.656427078755771e-10,-5.022652735906094e-10,-3.7240502143236617e-10,-2.765522382132199e-10,-2.0671925328590333e-10,-1.562316246912827e-10,-1.2740150699319612e-10,-1.0048700734886913e-10,-7.784427828050469e-11,-6.539986219925428e-11,-4.941665050132083e-11,-3.633750225095961e-11,-2.658546168980894e-11,-1.8437310592258324e-11,-1.2362000016111022e-11,-8.147941191682083e-12,-6.030391844666461e-12,-3.9633776555661515e-12,-2.504470563817493e-12,-1.5540768052586613e-12,-9.132569269759383e-13
11,-6.389009217261763e-09,-4.725846510208154e-09,-3.2827712862941105e-09,-2.3386017500519646e-09,-1.6384771201385043e-09,-1.0985917644269255e-09,-7.319841826789982e-10,-4.796668745500696e-10,-3.184258299771878e-10,-2.2317124706861594e-10,-1.5674998135279368e-10,-1.05460181083465e-10,-7.75218411062114e-11,-6.324827392469768e-11,-4.955106741837517e-11,-3.8583206407293226e-11,-2.7863536649434938e-11,-1.959419009281507e-11,-1.2324486170785326e-09,-9.554325619257442e-10,-7.572354863668571e-10,-5.735184111029195e-10,-4.2598774881309813e-10,-3.1660265699924427e-10,-2.3723483527349517e-10,-1.8022594909746146e-10,-1.4748873450111365e-10,-1.1678368565781397e-10,-9.090470450697837e-11,-7.654735073512663e-11,-5.807482104032239e-11,-4.284621691667992e-11,-3.140845545461634e-11,-2.1787330291312077e-11,-1.457396077503812e-11,-9.556279660289637e-12,-7.043571273884769e-12,-4.5960043799885166e-12,-2.8786620028604828e-12,-1.7688895052480089e-12,-1.0277464085563236e-12
12,-7.048943843631731e-09,-5.221867229509556e-09,-3.616208731525396e-09,-2.5578303817406516e-09,-1.7734941182718751e-09,-1.171788095684323e-09,-7.681949111744705e-10,-4.951450012561027e-10,-3.246299288276823e-10,-2.2637890653530414e-10,-1.5896698785899335e-10,-1.0755978752002904e-10,-7.95995571022216e-11,-6.520534373383591e-11,-5.138469830567829e-11,-4.018526930498426e-11,-2.917501836666093e-11,-2.059363883689713e-11,-1.3116658268699385e-09,-1.0086273576463635e-09,-7.941127661336886e-10,-5.965593595679501e-10,-4.3967723459853933e-10,-3.2495007872134115e-10,-2.429022868128498e-10,-1.8470929930525246e-10,-1.5145897446365973e-10,-1.2026951236942053e-10,-9.395429287834507e-11,-7.92757122840082e-11,-6.03596748417496e-11,-4.4660263572356756e-11,-3.2783297028848556e-11,-2.273219795175244e-11,-1.5166735715291998e-11,-9.899784022491864e-12,-7.274395462592407e-12,-4.72184541126835e-12,-2.9396534580428563e-12,-1.7948783966582047e-12,-1.035399704922551e-12
13,-7.397202209422899e-09,-5.495930863954026e-09,-3.811915626713973e-09,-2.694024614617136e-09,-1.8632744938670647e-09,-1.2254399180425843e-09,-7.983202550284799e-10,-5.106617765351091e-10,-3.324410436876878e-10,-2.3082222218165436e-10,-1.616631824508047e-10,-1.0934012648913271e-10,-8.101052412389645e-11,-6.643313912133922e-11,-5.24352601266026e-11,-4.106865944985334e-11,-2.9877926259515964e-11,-2.113164276486719e-11,-1.3663350312146178e-09,-1.0475886235874291e-09,-8.225024130385837e-10,-6.155884049683865e-10,-4.518258629169382e-10,-3.326512129852861e-10,-2.4795366215880866e-10,-1.8830162481646414e-10,-1.5441218417952545e-10,-1.2267123185397074e-10,-9.589183192956048e-11,-8.095751202268779e-11,-6.170706681589236e-11,-4.571282978170557e-11,-3.359104882012078e-11,-2.3311555050285696e-11,-1.5558296086438126e-11,-1.015167883911805e-11,-7.454942702516796e-12,-4.833383816878592e-12,-3.0040067365389922e-12,-1.8302803561563155e-12,-1.0529218245959697e-12
14,-7.51240125435897e-09,-5.558900086829349e-09,-3.837525449570252e-09,-2.7032732368933812e-09,-1.8647998440051785e-09,-1.224151858277662e-09,-7.974061180940015e-10,-5.110108524805294e-10,-3.338721525987162e-10,-2.3273147797712468e-10,-1.6369003118309212e-10,-1.1120794868619532e-10,-8.263788833826075e-11,-6.78732993182305e-11,-5.3693250306474436e-11,-4.2137049510610216e-11,-3.074025357874098e-11,-2.1804818683566475e-11,-1.3672372298820517e-09,-1.049140955204311e-09,-8.252382062672612e-10,-6.193691164005002e-10,-4.5617900034832344e-10,-3.3697431063782413e-10,-2.519021604596414e-10,-1.9180599931447898e-10,-1.5753557330387323e-10,-1.2538054558870078e-10,-9.823205365678739e-11,-8.303603388856399e-11,-6.343392189666323e-11,-4.709790535473264e-11,-3.46802852082544e-11,-2.411903223673166e-11,-1.6128299992209042e-11,-1.0538406699953382e-11,-7.740883302131504e-12,-5.019879521408556e-12,-3.1190081741353586e-12,-1.898739055354115e-12,-1.0906659764075923e-12
15,-7.399233923437995e-09,-5.4338456095488634e-09,-3.724162275349146e-09,-2.614560796164606e-09,-1.801632637893934e-09,-1.1847123871255813e-09,-7.759261741649597e-10,-5.017512329667968e-10,-3.314024436630789e-10,-2.3311602640115756e-10,-1.6531590882924926e-10,-1.1311706363142535e-10,-8.436964227291202e-11,-6.940371893030456e-11,-5.5027199505037865e-11,-4.325712142047487e-11,-3.1629703792637455e-11,-2.2486704125429948e-11,-1.329656299106229e-09,-1.0242826159015018e-09,-8.099202201283843e-10,-6.124415317711648e-10,-4.5504240424628525e-10,-3.3887139805448813e-10,-2.5495247460218883e-10,-1.9504134921565853e-10,-1.6054415391702172e-10,-1.2806059912486913e-10,-1.0060459292801475e-10,-8.515122433096266e-11,-6.519862673277921e-11,-4.850684191139526e-11,-3.577784076548391e-11,-2.49231961492778e-11,-1.6689950410302754e-11,-1.0916669653299838e-11,-8.020230764663196e-12,-5.201889752859947e-12,-3.23142525062723e-12,-1.965983262937584e-12,-1.1280566497431663e-12
16,-7.242143929360534e-09,-5.261424625599227e-09,-3.572520100767881e-09,-2.4997358946980695e-09,-1.7227813917212718e-09,-1.1376692110744696e-09,-7.515875183725266e-10,-4.919757676532177e-10,-3.290951235573832e-10,-2.335491834774504e-10,-1.666827959006554e-10,-1.1440319821563847e-10,-8.530902938689108e-11,-7.011870546100667e-11,-5.552794872532488e-11,-4.360540771516898e-11,-3.1845907121659225e-11,-2.2625396693437348e-11,-1.2849597833781328e-09,-9.942056616348147e-10,-7.901054612351382e-10,-6.01592794188777e-10,-4.504702870932506e-10,-3.3788050338988306e-10,-2.556266550152521e-10,-1.9621632459252647e-10,-1.616426797609171e-10,-1.2898068044096394e-10,-1.0136252027599204e-10,-8.578588936556564e-11,-6.567516911580116e-11,-4.885532407400659e-11,-3.604275395905216e-11,-2.512726972291656e-11,-1.68498105733032e-11,-1.1040358157733859e-11,-8.117789625353078e-12,-5.27186199146511e-12,-3.2784391297371626e-12,-1.9960348016859276e-12,-1.1457063916391212e-12
17,-7.338305479965434e-09,-5.295167327097891e-09,-3.5731247760849835e-09,-2.4929238219916083e-09,-1.7160003690176544e-09,-1.133811713793796e-09,-7.510301504325702e-10,-4.936999133934297e-10,-3.317727458425486e-10,-2.3621897287934344e-10,-1.6899241561234765e-10,-1.1613824794070965e-10,-8.662014514956688e-11,-7.119622063448075e-11,-5.63815677187762e-11,-4.428445009224504e-11,-3.235748382392921e-11,-2.3011029607901358e-11,-1.2868942108065063e-09,-9.96954822614216e-10,-7.935613426153542e-10,-6.055458002559391e-10,-4.5454655786455475e-10,-3.417339839007423e-10,-2.590570158214543e-10,-1.9913443245758785e-10,-1.641270558419769e-10,-1.310119086069109e-10,-1.0300533624460483e-10,-8.719484149088473e-11,-6.678196515141401e-11,-4.970878633739758e-11,-3.670467411133448e-11,-2.562293214699818e-11,-1.7211222766674414e-11,-1.129721679630585e-11,-8.313145183100217e-12,-5.4052823678482735e-12,-3.3651226218022793e-12,-2.050663566681257e-12,-1.1779520486202543e-12
18,-7.522884663894246e-09,-5.458679395933952e-09,-3.7145775411870774e-09,-2.6119880826005325e-09,-1.812665205354509e-09,-1.2081878069035953e-09,-8.05691283121053e-10,-5.318462842352109e-10,-3.5752364302501713e-10,-2.5384816328563e-10,-1.8075798249081528e-10,-1.234004673599853e-10,-9.159278885746308e-11,-7.51146043162152e-11,-5.929334105083816e-11,-4.64781491529184e-11,-3.3884553246423303e-11,-2.4068943049110464e-11,-1.364197788373785e-09,-1.0602076749967265e-09,-8.45630887479171e-10,-6.465924308703064e-10,-4.857992945661224e-10,-3.6486866488307843e-10,-2.758018265749223e-10,-2.112138948513206e-10,-1.7371604913502352e-10,-1.3835669908675461e-10,-1.084857512555639e-10,-9.17176708685881e-11,-7.009249610860819e-11,-5.2088227510525976e-11,-3.8432600234039553e-11,-2.6832703568358286e-11,-1.8043384835597994e-11,-1.186453696595952e-11,-8.74009180297107e-12,-5.693239487302094e-12,-3.551648926536648e-12,-2.168968358267438e-12,-1.2489154484720252e-12
19,-7.984138620690978e-09,-5.867570467182904e-09,-4.063602653281783e-09,-2.9009439908909623e-09,-2.0431687593870368e-09,-1.3820195192621643e-09,-9.307270294683377e-10,-6.168467633829296e-10,-4.1305436443164145e-10,-2.904481107829733e-10,-2.0392343034423347e-10,-1.3651161052048162e-10,-9.981473937083651e-11,-8.122225153164462e-11,-6.338956388159842e-11,-4.926687487559031e-11,-3.552728339053008e-11,-2.500607551024928e-11,-1.5411473088521093e-09,-1.2018128115500582e-09,-9.585172345002693e-10,-7.316478989742948e-10,-5.471538447877487e-10,-4.078859645893482e-10,-3.052781852899864e-10,-2.3116430301705387e-10,-1.8879701749042178e-10,-1.4916249762593268e-10,-1.1579253094108726e-10,-9.737839414325089e-11,-7.371675640269996e-11,-5.4315783119497996e-11,-3.982034365603629e-11,-2.7664805803881015e-11,-1.8550132348608382e-11,-1.2188144780537333e-11,-8.98203199825883e-12,-5.855769205490981e-12,-3.6579429838728096e-12,-2.2375812080250104e-12,-1.2910287364790427e-12
